datum;mittelzufluss;mittelabfluss;kunde_id
31.01.2025;59375.525976;0.0;CH8722897
31.01.2025;59265.699948;0.0;CH4018926
31.01.2025;100000.0;0.0;CH7144895
31.01.2025;60000.0;0.0;CH4293539
31.01.2025;107676.9082584;0.0;CH5850321
31.01.2025;59367.69552;0.0;CH6047218
31.01.2025;79188.145992;0.0;CH5304648
31.01.2025;74256.265095;0.0;CH7073572
31.01.2025;59403.927258;0.0;CH6546121
31.01.2025;59410.33614;0.0;CH2297373
31.01.2025;59352.656202;0.0;CH9964377
28.02.2025;260193.6168;0.0;CH9121341
31.01.2025;59352.656202;0.0;CH5961393
31.01.2025;79205.236344;0.0;CH5644497
31.01.2025;98942.45661;0.0;CH2414303
31.01.2025;59403.927258;0.0;CH7199019
31.01.2025;59391.109494;0.0;CH4500142
31.01.2025;99119.41985;0.0;CH5699941
31.01.2025;59405.012076;0.0;CH4683284
31.01.2025;115000.0;0.0;CH8421525
28.02.2025;30500.0;0.0;CH8421525
31.01.2025;29683.6983153;0.0;CH4818985
31.01.2025;99045.1572;0.0;CH8384627
31.01.2025;59326.910154;0.0;CH1731690
31.01.2025;59326.910154;0.0;CH6640728
31.01.2025;99006.54543;0.0;CH2547163
31.01.2025;69289.627743;0.0;CH5341170
31.01.2025;150000.0;0.0;CH4824605
31.01.2025;98956.80315;0.0;CH4489465
31.01.2025;59403.927258;0.0;CH5249724
31.01.2025;356750.182152;0.0;CH5069251
31.01.2025;74254.9090725;0.0;CH2374075
28.02.2025;29939.299884;0.0;CH5965015
31.01.2025;59471.65191;0.0;CH6979326
31.01.2025;59452.5558;0.0;CH2725820
31.01.2025;59427.980154;0.0;CH6720423
28.02.2025;496115.0543;0.0;CH3571879
31.01.2025;99294.94512;0.0;CH6124047
31.01.2025;59403.927258;0.0;CH5701182
31.01.2025;59391.109494;0.0;CH9700296
31.01.2025;59403.927258;0.0;CH6557160
31.01.2025;98914.36908;0.0;CH5074422
31.01.2025;59403.927258;0.0;CH2074514
31.01.2025;89109.139014;0.0;CH2625583
31.01.2025;98942.45661;0.0;CH5051891
31.01.2025;78941.19695;0.0;CH2939550
31.01.2025;60000.0;0.0;CH7299122
31.01.2025;59577.738258;0.0;CH3384557
31.01.2025;65000.0;0.0;CH7612479
31.01.2025;59348.621448;0.0;CH5639760
28.02.2025;59354.805744;0.0;CH1715106
31.01.2025;1500000.0;0.0;CH3511870
31.03.2025;1000000.0;0.0;CH3511870
31.01.2025;197977.73764;0.0;CH4690279
31.01.2025;200000.0;0.0;CH8879301
31.01.2025;0.0;-511.7;DE6289601
28.02.2025;0.0;-8704.0;DE6289601
31.03.2025;0.0;-8948.0;DE6289601
30.04.2025;0.0;-1751.98;DE6289601
31.05.2025;0.0;-13702.0;DE6289601
31.01.2025;1000000.0;0.0;DE9516571
31.01.2025;2000000.0;0.0;DE2291471
28.02.2025;70000.0;0.0;DE8170573
28.02.2025;250000.0;0.0;DE3160870
30.04.2025;125000.0;0.0;DE3160870
31.01.2025;461539.22;0.0;DE5871985
31.01.2025;780000.0;0.0;DE4528636
31.03.2025;240000.0;0.0;DE4528636
28.02.2025;500000.0;0.0;DE8844574
31.01.2025;0.0;-250000.0;DV2448631
30.04.2025;0.0;-51000.0;DV2448631
31.01.2025;230000.0;0.0;DV1251271
31.01.2025;125000.0;0.0;DV6587318
31.01.2025;60000.0;0.0;DV8541939
31.01.2025;360000.0;0.0;DV7745849
31.01.2025;100000.0;0.0;DV5195005
31.01.2025;11201.7;0.0;DV2798587
28.02.2025;49.83;0.0;DV2798587
31.01.2025;330000.0;0.0;DV3517525
31.01.2025;100000.0;0.0;DV8590979
31.01.2025;300000.0;0.0;DV5185730
31.01.2025;200000.0;0.0;DV8512132
31.05.2025;2569448.17;0.0;LU9257864
28.02.2025;280746.02;0.0;LU6068433
30.04.2025;1491.94;0.0;LU6068433
28.02.2025;285404.38;0.0;LU5051459
30.04.2025;1516.69;0.0;LU5051459
31.05.2025;2389.66;0.0;LU5607889
31.01.2025;349683.29;0.0;LU2636045
30.04.2025;0.0;-317876.98;LU2636045
31.01.2025;61734.44;0.0;LU5131284
